Rank,Player Name,DG ID,Data Coverage %,Dampening Applied?,Group Scores (Before Dampening),Group Scores (After Dampening if applicable),Weighted Score,Confidence Factor,Past Perf Multiplier,Refined Weighted Score,Final WAR,Notes
11,"Hisatsune, Ryo",22760,95.1,NO,Driving Performance: 3.758; Approach - Short (<100): -1.073; Approach - Mid (100-150): -0.071; Approach - Long (150-200): -0.015; Approach - Very Long (>200): -0.397; Putting: 1.890; Around the Green: 1.394; Scoring: 0.083; Course Management: -0.070,,0.615,0.988,1.024,0.607,0.14,
12,"Meissner, Mac",28159,95.1,NO,Driving Performance: 1.766; Approach - Short (<100): -0.312; Approach - Mid (100-150): 0.069; Approach - Long (150-200): -0.121; Approach - Very Long (>200): -0.098; Putting: -0.693; Around the Green: 2.469; Scoring: 0.537; Course Management: -0.101,,0.565,0.988,0.864,0.558,0.16,
13,"VanDerLaan, John",25319,39,YES,Driving Performance: 9.483; Approach - Short (<100): 1.090; Approach - Mid (100-150): 0.114; Approach - Long (150-200): 1.343; Approach - Very Long (>200): 1.216; Putting: -0.335; Around the Green: 0.188; Scoring: -0.110; Course Management: 1.475,Driving Performance: 3.799; Approach - Short (<100): 0.437; Approach - Mid (100-150): 0.046; Approach - Long (150-200): 0.538; Approach - Very Long (>200): 0.487; Putting: -0.134; Around the Green: 0.075; Scoring: -0.044; Course Management: 0.591,0.693,0.812,0.844,0.488,0.29,Dampened by √0.39 = 0.625
14,"Yellamaraju, Sudarshan",29925,63.4,YES,Driving Performance: 6.886; Approach - Short (<100): 1.090; Approach - Mid (100-150): 0.480; Approach - Long (150-200): -0.081; Approach - Very Long (>200): 1.216; Putting: 0.985; Around the Green: -1.507; Scoring: -0.190; Course Management: 1.021,Driving Performance: 3.978; Approach - Short (<100): 0.630; Approach - Mid (100-150): 0.277; Approach - Long (150-200): -0.047; Approach - Very Long (>200): 0.702; Putting: 0.569; Around the Green: -0.870; Scoring: -0.110; Course Management: 0.590,0.591,0.898,0.831,0.515,0.18,Dampened by √0.63 = 0.796
15,"Theegala, Sahith",23014,95.1,NO,Driving Performance: 3.806; Approach - Short (<100): 0.039; Approach - Mid (100-150): -0.260; Approach - Long (150-200): -0.170; Approach - Very Long (>200): -0.180; Putting: 1.145; Around the Green: 0.465; Scoring: -0.008; Course Management: -0.118,,0.542,0.988,1.032,0.536,0.05,
16,"Knapp, Jake",19396,95.1,NO,Driving Performance: 5.045; Approach - Short (<100): -0.390; Approach - Mid (100-150): 0.239; Approach - Long (150-200): -0.536; Approach - Very Long (>200): -0.264; Putting: 2.088; Around the Green: -0.744; Scoring: 0.049; Course Management: 0.157,,0.561,0.988,1.03,0.554,-0.02,
17,"Hovland, Viktor",18841,95.1,NO,Driving Performance: 0.956; Approach - Short (<100): 0.505; Approach - Mid (100-150): 0.374; Approach - Long (150-200): 0.528; Approach - Very Long (>200): 0.430; Putting: 1.897; Around the Green: -0.269; Scoring: 0.347; Course Management: 0.103,,0.455,0.988,1.019,0.45,0.34,
18,"Matsuyama, Hideki",13562,95.1,NO,Driving Performance: -1.217; Approach - Short (<100): 0.370; Approach - Mid (100-150): -0.145; Approach - Long (150-200): 0.343; Approach - Very Long (>200): 0.410; Putting: -0.389; Around the Green: 2.884; Scoring: 1.044; Course Management: 0.239,,0.474,0.988,1.011,0.468,0.22,
19,"Coody, Pierceson",28309,92.7,NO,Driving Performance: 2.888; Approach - Short (<100): 0.328; Approach - Mid (100-150): -0.338; Approach - Long (150-200): -0.638; Approach - Very Long (>200): -0.397; Putting: 1.468; Around the Green: 1.079; Scoring: -0.103; Course Management: -0.123,,0.472,0.981,1.079,0.463,0.05,
20,"Thompson, Davis",27364,95.1,NO,Driving Performance: 2.366; Approach - Short (<100): 0.027; Approach - Mid (100-150): -0.078; Approach - Long (150-200): -0.081; Approach - Very Long (>200): -0.530; Putting: -1.630; Around the Green: 1.272; Scoring: 0.458; Course Management: -0.069,,0.425,0.988,0.867,0.42,0.13,
21,"Hirata, Kensei",20954,46.3,YES,Driving Performance: 7.421; Approach - Short (<100): -1.711; Approach - Mid (100-150): 1.315; Approach - Long (150-200): 0.687; Approach - Very Long (>200): 1.216; Putting: 0.401; Around the Green: -0.748; Scoring: -0.048; Course Management: 1.392,Driving Performance: 3.318; Approach - Short (<100): -0.765; Approach - Mid (100-150): 0.588; Approach - Long (150-200): 0.307; Approach - Very Long (>200): 0.544; Putting: 0.179; Around the Green: -0.335; Scoring: -0.022; Course Management: 0.622,0.479,0.84,0.813,0.362,0.22,Dampened by √0.46 = 0.681
22,"Gonzalez, Emilio",28016,70.7,NO,Driving Performance: 1.129; Approach - Short (<100): 1.051; Approach - Mid (100-150): 0.602; Approach - Long (150-200): -0.980; Approach - Very Long (>200): 1.216; Putting: 0.121; Around the Green: 1.162; Scoring: -0.695; Course Management: 0.193,,0.411,0.921,0.806,0.379,0.1,
23,"Stevens, Sam",25569,95.1,NO,Driving Performance: 3.924; Approach - Short (<100): -0.272; Approach - Mid (100-150): -0.579; Approach - Long (150-200): -0.378; Approach - Very Long (>200): -0.429; Putting: 0.072; Around the Green: 0.597; Scoring: -0.207; Course Management: -0.285,,0.352,0.988,0.941,0.347,-0.09,
24,"Lebioda, Hank",21943,26.8,YES,Driving Performance: 6.179; Approach - Short (<100): 1.090; Approach - Mid (100-150): 1.315; Approach - Long (150-200): 1.343; Approach - Very Long (>200): 1.216; Putting: 0.255; Around the Green: -0.982; Scoring: 0.144; Course Management: 1.939,Driving Performance: 2.062; Approach - Short (<100): 0.364; Approach - Mid (100-150): 0.439; Approach - Long (150-200): 0.448; Approach - Very Long (>200): 0.406; Putting: 0.085; Around the Green: -0.328; Scoring: 0.048; Course Management: 0.647,0.475,0.759,0.809,0.294,0.4,Dampened by √0.27 = 0.518
25,"Smotherman, Austin",22985,26.8,YES,Driving Performance: 6.332; Approach - Short (<100): 1.090; Approach - Mid (100-150): 1.315; Approach - Long (150-200): 1.343; Approach - Very Long (>200): 1.216; Putting: 0.227; Around the Green: -1.296; Scoring: -0.211; Course Management: 1.924,Driving Performance: 2.113; Approach - Short (<100): 0.364; Approach - Mid (100-150): 0.439; Approach - Long (150-200): 0.448; Approach - Very Long (>200): 0.406; Putting: 0.076; Around the Green: -0.432; Scoring: -0.070; Course Management: 0.642,0.452,0.759,0.872,0.28,0.39,Dampened by √0.27 = 0.518
26,"Berger, Daniel",17606,95.1,NO,Driving Performance: -0.457; Approach - Short (<100): 0.406; Approach - Mid (100-150): -0.103; Approach - Long (150-200): 0.302; Approach - Very Long (>200): 0.015; Putting: 0.328; Around the Green: 1.096; Scoring: 1.004; Course Management: 0.126,,0.325,0.988,0.896,0.321,0.21,
27,"Chatfield, Davis",30620,26.8,YES,Driving Performance: 3.146; Approach - Short (<100): 1.090; Approach - Mid (100-150): 1.315; Approach - Long (150-200): 1.343; Approach - Very Long (>200): 1.216; Putting: -0.964; Around the Green: 0.618; Scoring: 0.264; Course Management: 1.809,Driving Performance: 1.050; Approach - Short (<100): 0.364; Approach - Mid (100-150): 0.439; Approach - Long (150-200): 0.448; Approach - Very Long (>200): 0.406; Putting: -0.322; Around the Green: 0.206; Scoring: 0.088; Course Management: 0.604,0.405,0.759,0.807,0.251,0.48,Dampened by √0.27 = 0.518
28,"Avant, Thomas",31585,50,YES,Driving Performance: -2.872; Approach - Short (<100): 1.090; Approach - Mid (100-150): 1.315; Approach - Long (150-200): 1.343; Approach - Very Long (>200): 1.216; Putting: 0.164; Around the Green: 0.175; Scoring: 3.063; Course Management: 1.593,Driving Performance: -1.357; Approach - Short (<100): 0.515; Approach - Mid (100-150): 0.621; Approach - Long (150-200): 0.635; Approach - Very Long (>200): 0.574; Putting: 0.077; Around the Green: 0.083; Scoring: 1.447; Course Management: 0.752,0.339,0.854,1,0.265,0.33,Dampened by √0.50 = 0.707
29,"Kim, Si Woo",14609,95.1,NO,Driving Performance: 1.220; Approach - Short (<100): -0.265; Approach - Mid (100-150): 0.020; Approach - Long (150-200): 0.275; Approach - Very Long (>200): 0.341; Putting: 0.245; Around the Green: 0.020; Scoring: 1.196; Course Management: -0.076,,0.318,0.988,1.132,0.314,0.2,
30,"Lamprecht, Christo",24343,39,YES,Driving Performance: 3.854; Approach - Short (<100): 1.090; Approach - Mid (100-150): -0.333; Approach - Long (150-200): 1.343; Approach - Very Long (>200): 1.216; Putting: -1.830; Around the Green: 0.624; Scoring: -0.338; Course Management: 1.253,Driving Performance: 1.544; Approach - Short (<100): 0.437; Approach - Mid (100-150): -0.134; Approach - Long (150-200): 0.538; Approach - Very Long (>200): 0.487; Putting: -0.733; Around the Green: 0.250; Scoring: -0.135; Course Management: 0.502,0.349,0.812,0.815,0.246,0.22,Dampened by √0.39 = 0.625
31,"Morikawa, Collin",22085,95.1,NO,Driving Performance: 1.792; Approach - Short (<100): 0.142; Approach - Mid (100-150): 0.624; Approach - Long (150-200): 0.154; Approach - Very Long (>200): 0.048; Putting: -1.582; Around the Green: -0.943; Scoring: 0.981; Course Management: -0.102,,0.272,0.988,0.865,0.269,0.2,
32,"Keefer, Johnny",32457,95.1,NO,Driving Performance: 2.232; Approach - Short (<100): -0.221; Approach - Mid (100-150): -0.065; Approach - Long (150-200): 0.360; Approach - Very Long (>200): -0.119; Putting: -0.425; Around the Green: -0.467; Scoring: 0.855; Course Management: -0.098,,0.294,0.988,0.882,0.291,0.11,
33,"Lee, S.T.",16162,26.8,YES,Driving Performance: 2.486; Approach - Short (<100): 1.090; Approach - Mid (100-150): 1.315; Approach - Long (150-200): 1.343; Approach - Very Long (>200): 1.216; Putting: -0.940; Around the Green: 0.528; Scoring: 0.432; Course Management: 1.725,Driving Performance: 0.829; Approach - Short (<100): 0.364; Approach - Mid (100-150): 0.439; Approach - Long (150-200): 0.448; Approach - Very Long (>200): 0.406; Putting: -0.314; Around the Green: 0.176; Scoring: 0.144; Course Management: 0.575,0.377,0.759,0.811,0.233,0.43,Dampened by √0.27 = 0.518
34,"Cole, Eric",21756,95.1,NO,Driving Performance: 0.712; Approach - Short (<100): 0.290; Approach - Mid (100-150): 0.211; Approach - Long (150-200): -0.033; Approach - Very Long (>200): -0.562; Putting: 0.413; Around the Green: 0.219; Scoring: 0.659; Course Management: -0.079,,0.273,0.988,0.876,0.269,0.15,
35,"Fox, Ryan",11889,95.1,NO,Driving Performance: 0.011; Approach - Short (<100): -0.192; Approach - Mid (100-150): 0.488; Approach - Long (150-200): 0.104; Approach - Very Long (>200): -0.235; Putting: 1.061; Around the Green: 0.307; Scoring: 0.450; Course Management: 0.062,,0.222,0.988,0.85,0.219,0.15,
36,"McNealy, Maverick",18634,95.1,NO,Driving Performance: -0.640; Approach - Short (<100): -0.009; Approach - Mid (100-150): -0.065; Approach - Long (150-200): 0.042; Approach - Very Long (>200): -0.384; Putting: 2.728; Around the Green: 0.881; Scoring: 0.520; Course Management: 0.009,,0.225,0.988,1.01,0.222,0.12,
37,"Rodgers, Patrick",16283,95.1,NO,Driving Performance: 2.749; Approach - Short (<100): -0.743; Approach - Mid (100-150): -0.337; Approach - Long (150-200): 0.091; Approach - Very Long (>200): -0.516; Putting: -0.142; Around the Green: 0.426; Scoring: 0.224; Course Management: -0.100,,0.263,0.988,0.934,0.26,0,
38,"Kang, Jeffrey",21889,26.8,YES,Driving Performance: 2.285; Approach - Short (<100): 1.090; Approach - Mid (100-150): 1.315; Approach - Long (150-200): 1.343; Approach - Very Long (>200): 1.216; Putting: -0.884; Around the Green: -0.233; Scoring: -0.149; Course Management: 1.878,Driving Performance: 0.762; Approach - Short (<100): 0.364; Approach - Mid (100-150): 0.439; Approach - Long (150-200): 0.448; Approach - Very Long (>200): 0.406; Putting: -0.295; Around the Green: -0.078; Scoring: -0.050; Course Management: 0.627,0.313,0.759,0.805,0.193,0.33,Dampened by √0.27 = 0.518
39,"Blanchet, Chandler",24956,46.3,YES,Driving Performance: 3.493; Approach - Short (<100): 0.345; Approach - Mid (100-150): -0.046; Approach - Long (150-200): 1.343; Approach - Very Long (>200): 1.216; Putting: -1.273; Around the Green: -0.614; Scoring: -0.283; Course Management: 1.127,Driving Performance: 1.562; Approach - Short (<100): 0.154; Approach - Mid (100-150): -0.021; Approach - Long (150-200): 0.601; Approach - Very Long (>200): 0.544; Putting: -0.569; Around the Green: -0.275; Scoring: -0.126; Course Management: 0.504,0.272,0.84,0.833,0.206,0.16,Dampened by √0.46 = 0.681
40,"Penge, Marco",22465,82.9,NO,Driving Performance: -0.416; Approach - Short (<100): 0.018; Approach - Mid (100-150): 0.776; Approach - Long (150-200): 0.459; Approach - Very Long (>200): 0.175; Putting: -2.210; Around the Green: 0.719; Scoring: 0.704; Course Management: -0.316,,0.22,0.955,0.79,0.21,0.22,
41,"McGreevy, Max",23505,95.1,NO,Driving Performance: 1.058; Approach - Short (<100): 0.281; Approach - Mid (100-150): -0.179; Approach - Long (150-200): -0.183; Approach - Very Long (>200): -0.030; Putting: -0.670; Around the Green: 1.050; Scoring: 0.172; Course Management: -0.244,,0.247,0.988,0.899,0.244,0.03,
42,"Hughes, Mackenzie",15556,95.1,NO,Driving Performance: 0.308; Approach - Short (<100): 0.157; Approach - Mid (100-150): -0.202; Approach - Long (150-200): -0.327; Approach - Very Long (>200): -0.585; Putting: -0.148; Around the Green: 1.827; Scoring: 0.195; Course Management: -0.202,,0.237,0.988,0.799,0.234,0.04,
43,"Clark, Wyndham",23604,95.1,NO,Driving Performance: 1.272; Approach - Short (<100): -0.058; Approach - Mid (100-150): 0.054; Approach - Long (150-200): -0.403; Approach - Very Long (>200): -0.131; Putting: 0.466; Around the Green: 0.378; Scoring: 0.413; Course Management: -0.099,,0.222,0.988,0.881,0.219,0.05,
44,"English, Harris",14577,95.1,NO,Driving Performance: 1.657; Approach - Short (<100): 0.170; Approach - Mid (100-150): -0.462; Approach - Long (150-200): 0.245; Approach - Very Long (>200): -0.380; Putting: 1.388; Around the Green: -0.350; Scoring: 0.147; Course Management: -0.122,,0.209,0.988,0.953,0.206,0.04,
45,"Davis, Cam",17786,95.1,NO,Driving Performance: 3.159; Approach - Short (<100): 0.025; Approach - Mid (100-150): -0.227; Approach - Long (150-200): -0.744; Approach - Very Long (>200): -0.503; Putting: -1.345; Around the Green: 0.894; Scoring: -0.598; Course Management: -0.341,,0.229,0.988,0.805,0.226,-0.12,
46,"Shipley, Neal",32055,51.2,YES,Driving Performance: 1.055; Approach - Short (<100): 1.090; Approach - Mid (100-150): 0.692; Approach - Long (150-200): 0.357; Approach - Very Long (>200): 1.216; Putting: -0.252; Around the Green: -0.915; Scoring: 0.037; Course Management: 0.966,Driving Performance: 0.508; Approach - Short (<100): 0.524; Approach - Mid (100-150): 0.333; Approach - Long (150-200): 0.172; Approach - Very Long (>200): 0.585; Putting: -0.121; Around the Green: -0.440; Scoring: 0.018; Course Management: 0.465,0.201,0.858,0.818,0.158,0.17,Dampened by √0.51 = 0.716
47,"Nyholm, Pontus",25475,39,YES,Driving Performance: 0.121; Approach - Short (<100): 1.090; Approach - Mid (100-150): -0.594; Approach - Long (150-200): 1.343; Approach - Very Long (>200): 1.216; Putting: 0.143; Around the Green: 0.965; Scoring: -0.842; Course Management: 1.110,Driving Performance: 0.048; Approach - Short (<100): 0.437; Approach - Mid (100-150): -0.238; Approach - Long (150-200): 0.538; Approach - Very Long (>200): 0.487; Putting: 0.057; Around the Green: 0.387; Scoring: -0.333; Course Management: 0.445,0.171,0.812,0.793,0.12,0.14,Dampened by √0.39 = 0.625
48,"Koepka, Brooks",16243,82.9,NO,Driving Performance: 0.462; Approach - Short (<100): -0.182; Approach - Mid (100-150): -0.422; Approach - Long (150-200): -0.146; Approach - Very Long (>200): 0.568; Putting: 0.451; Around the Green: 1.173; Scoring: 0.187; Course Management: -0.057,,0.169,0.955,0.844,0.161,0.04,
49,"Eckroat, Austin",26653,95.1,NO,Driving Performance: 1.937; Approach - Short (<100): -0.399; Approach - Mid (100-150): 0.195; Approach - Long (150-200): -0.329; Approach - Very Long (>200): 0.169; Putting: -0.787; Around the Green: -0.429; Scoring: 0.617; Course Management: -0.291,,0.133,0.988,0.843,0.131,0.02,
50,"Schenk, Adam",19477,95.1,NO,Driving Performance: 3.527; Approach - Short (<100): -0.559; Approach - Mid (100-150): 0.015; Approach - Long (150-200): -0.597; Approach - Very Long (>200): -0.272; Putting: -1.390; Around the Green: -0.002; Scoring: -0.262; Course Management: -0.290,,0.168,0.988,0.898,0.166,-0.09,
51,"Hojgaard, Rasmus",23838,95.1,NO,Driving Performance: 3.717; Approach - Short (<100): -1.074; Approach - Mid (100-150): -0.236; Approach - Long (150-200): -0.311; Approach - Very Long (>200): -0.076; Putting: -0.226; Around the Green: -0.548; Scoring: 0.201; Course Management: -0.211,,0.153,0.988,0.908,0.151,-0.08,
52,"Conners, Corey",17576,95.1,NO,Driving Performance: 0.714; Approach - Short (<100): -0.222; Approach - Mid (100-150): 0.288; Approach - Long (150-200): 0.253; Approach - Very Long (>200): -0.120; Putting: 0.124; Around the Green: -0.936; Scoring: 0.704; Course Management: -0.213,,0.078,0.988,1.019,0.077,0.09,
53,"Novak, Andrew",23475,92.7,NO,Driving Performance: 0.152; Approach - Short (<100): 0.218; Approach - Mid (100-150): -0.472; Approach - Long (150-200): -0.234; Approach - Very Long (>200): -0.178; Putting: 0.104; Around the Green: 1.161; Scoring: 0.087; Course Management: -0.072,,0.111,0.981,0.995,0.109,-0.02,
54,"Hoge, Tom",15575,95.1,NO,Driving Performance: 0.784; Approach - Short (<100): 0.021; Approach - Mid (100-150): 0.176; Approach - Long (150-200): -0.014; Approach - Very Long (>200): -0.122; Putting: -1.075; Around the Green: -0.420; Scoring: 0.593; Course Management: 0.007,,0.08,0.988,0.884,0.079,0.01,
55,"Spieth, Jordan",14636,95.1,NO,Driving Performance: 0.709; Approach - Short (<100): 0.051; Approach - Mid (100-150): -0.090; Approach - Long (150-200): -0.187; Approach - Very Long (>200): 0.038; Putting: 0.598; Around the Green: 0.149; Scoring: -0.341; Course Management: 0.066,,0.075,0.988,0.958,0.074,0.02,
56,"Dahmen, Joel",14509,92.7,NO,Driving Performance: 1.581; Approach - Short (<100): -0.113; Approach - Mid (100-150): -0.056; Approach - Long (150-200): -0.241; Approach - Very Long (>200): -0.257; Putting: -1.248; Around the Green: 0.014; Scoring: 0.043; Course Management: -0.206,,0.068,0.981,0.968,0.067,-0.01,
57,"Finau, Tony",11676,95.1,NO,Driving Performance: 2.288; Approach - Short (<100): -0.469; Approach - Mid (100-150): -0.214; Approach - Long (150-200): 0.150; Approach - Very Long (>200): -0.157; Putting: -0.673; Around the Green: -0.753; Scoring: -0.096; Course Management: -0.010,,0.051,0.988,0.893,0.05,-0.03,
58,"Fitzpatrick, Matt",17646,95.1,NO,Driving Performance: 0.419; Approach - Short (<100): 0.268; Approach - Mid (100-150): -0.519; Approach - Long (150-200): -0.179; Approach - Very Long (>200): 0.602; Putting: -0.521; Around the Green: 0.433; Scoring: 0.237; Course Management: -0.183,,0.046,0.988,0.845,0.045,-0.04,
59,"Vilips, Karl",24304,95.1,NO,Driving Performance: 2.935; Approach - Short (<100): 0.069; Approach - Mid (100-150): -0.489; Approach - Long (150-200): -0.075; Approach - Very Long (>200): -0.686; Putting: -0.195; Around the Green: -1.206; Scoring: -0.017; Course Management: -0.276,,0.064,0.988,0.885,0.063,-0.18,
60,"Scheffler, Scottie",18417,95.1,NO,Driving Performance: -4.219; Approach - Short (<100): 0.636; Approach - Mid (100-150): 0.502; Approach - Long (150-200): 0.754; Approach - Very Long (>200): 0.435; Putting: 1.489; Around the Green: -0.461; Scoring: 1.864; Course Management: 0.201,,-0.018,0.988,1.243,-0.018,0.31,
61,"Walker, Danny",25003,92.7,NO,Driving Performance: 0.982; Approach - Short (<100): -0.774; Approach - Mid (100-150): 0.172; Approach - Long (150-200): -0.422; Approach - Very Long (>200): -0.868; Putting: -0.111; Around the Green: 0.470; Scoring: -0.301; Course Management: -0.312,,-0.028,0.981,0.837,-0.028,-0.08,
62,"Hubbard, Mark",16333,95.1,NO,Driving Performance: 1.236; Approach - Short (<100): -0.315; Approach - Mid (100-150): -0.530; Approach - Long (150-200): -0.200; Approach - Very Long (>200): 0.067; Putting: -1.546; Around the Green: 0.558; Scoring: 0.021; Course Management: -0.302,,-0.016,0.988,0.796,-0.016,-0.14,
63,"Hoey, Rico",23504,95.1,NO,Driving Performance: 0.486; Approach - Short (<100): -0.351; Approach - Mid (100-150): -0.053; Approach - Long (150-200): 0.497; Approach - Very Long (>200): 0.166; Putting: -2.174; Around the Green: -1.091; Scoring: 1.187; Course Management: -0.189,,-0.07,0.988,0.833,-0.069,0.01,
64,"Neergaard-Petersen, Rasmus",23841,82.9,NO,Driving Performance: 0.140; Approach - Short (<100): -0.896; Approach - Mid (100-150): 1.020; Approach - Long (150-200): 0.207; Approach - Very Long (>200): 0.651; Putting: -1.261; Around the Green: -1.797; Scoring: 1.100; Course Management: -0.200,,-0.1,0.955,0.91,-0.096,0.07,
65,"McCarty, Matt",28635,95.1,NO,Driving Performance: -1.247; Approach - Short (<100): 0.253; Approach - Mid (100-150): -0.025; Approach - Long (150-200): -0.171; Approach - Very Long (>200): -0.491; Putting: 1.603; Around the Green: -0.157; Scoring: 0.023; Course Management: -0.385,,-0.132,0.988,1.021,-0.131,-0.08,
66,"Saddier, Adrien",14792,70.7,NO,Driving Performance: -2.270; Approach - Short (<100): 0.648; Approach - Mid (100-150): -0.294; Approach - Long (150-200): 0.002; Approach - Very Long (>200): 1.216; Putting: 0.813; Around the Green: 0.174; Scoring: -0.079; Course Management: 0.229,,-0.147,0.921,0.79,-0.135,-0.08,
67,"Pavon, Matthieu",19960,95.1,NO,Driving Performance: 2.882; Approach - Short (<100): -1.164; Approach - Mid (100-150): -0.231; Approach - Long (150-200): -0.341; Approach - Very Long (>200): -0.480; Putting: 1.823; Around the Green: -1.759; Scoring: -0.269; Course Management: -0.385,,-0.125,0.988,0.86,-0.123,-0.19,
68,"Bezuidenhout, Christiaan",18103,95.1,NO,Driving Performance: -2.256; Approach - Short (<100): 0.403; Approach - Mid (100-150): -0.456; Approach - Long (150-200): -0.069; Approach - Very Long (>200): -0.489; Putting: 1.335; Around the Green: 0.646; Scoring: 0.087; Course Management: -0.112,,-0.175,0.988,0.899,-0.173,-0.09,
69,"Tosti, Alejandro",17032,95.1,NO,Driving Performance: 1.839; Approach - Short (<100): -0.815; Approach - Mid (100-150): 0.038; Approach - Long (150-200): -0.517; Approach - Very Long (>200): -0.216; Putting: -3.460; Around the Green: -0.304; Scoring: 0.182; Course Management: -0.336,,-0.173,0.988,0.818,-0.171,-0.17,
70,"Dumont De Chassart, Adrien",22002,80.5,NO,Driving Performance: 1.370; Approach - Short (<100): 0.069; Approach - Mid (100-150): -0.896; Approach - Long (150-200): -0.807; Approach - Very Long (>200): 1.216; Putting: 0.222; Around the Green: -0.467; Scoring: -0.678; Course Management: -0.257,,-0.206,0.949,0.826,-0.195,-0.22,
71,"Young, Cameron",26651,95.1,NO,Driving Performance: -3.295; Approach - Short (<100): -0.422; Approach - Mid (100-150): 0.148; Approach - Long (150-200): 0.058; Approach - Very Long (>200): -0.804; Putting: 0.857; Around the Green: 0.721; Scoring: 0.381; Course Management: -0.103,,-0.291,0.988,1.017,-0.288,0.03,
72,"Reitan, Kristoffer",21407,95.1,NO,Driving Performance: 0.027; Approach - Short (<100): -0.799; Approach - Mid (100-150): -0.169; Approach - Long (150-200): 0.088; Approach - Very Long (>200): -0.796; Putting: -0.242; Around the Green: -0.390; Scoring: -0.230; Course Management: -0.364,,-0.269,0.988,0.85,-0.266,-0.15,
73,"Fowler, Rickie",12965,95.1,NO,Driving Performance: -1.974; Approach - Short (<100): 0.104; Approach - Mid (100-150): 0.406; Approach - Long (150-200): -0.506; Approach - Very Long (>200): 0.030; Putting: -0.271; Around the Green: -0.262; Scoring: -0.167; Course Management: -0.243,,-0.328,0.988,0.918,-0.324,-0.12,
